,Remaining distrib,Date,Minimum Num Words
126,0.129640512812481,1928-01-01,8.0
127,0.129640512812481,1929-01-01,8.0
128,0.11196504468580548,1930-01-01,6.0
129,0.12101807439573498,1931-01-01,7.0
130,0.12101807439573498,1932-01-01,7.0
131,0.12101807439573498,1933-01-01,7.0
132,0.12101807439573498,1934-01-01,7.0
133,0.12101807439573498,1935-01-01,7.0
134,0.129640512812481,1936-01-01,8.0
135,0.129640512812481,1937-01-01,8.0
136,0.129640512812481,1938-01-01,8.0
137,0.10086379223056541,1939-01-01,5.0
138,0.10086379223056541,1940-01-01,5.0
139,0.10086379223056541,1941-01-01,5.0
140,0.12101807439573498,1942-01-01,7.0
141,0.11196504468580548,1943-01-01,6.0
142,0.11196504468580548,1944-01-01,6.0
143,0.11196504468580548,1945-01-01,6.0
144,0.12101807439573498,1946-01-01,7.0
145,0.11196504468580548,1947-01-01,6.0
146,0.11196504468580548,1948-01-01,6.0
147,0.12101807439573498,1949-01-01,7.0
148,0.12101807439573498,1950-01-01,7.0
149,0.129640512812481,1951-01-01,8.0
150,0.129640512812481,1952-01-01,8.0
151,0.129640512812481,1953-01-01,8.0
152,0.13950896934711599,1954-01-01,9.0
153,0.129640512812481,1955-01-01,8.0
154,0.12101807439573498,1956-01-01,7.0
155,0.13950896934711599,1957-01-01,9.0
156,0.13950896934711599,1958-01-01,9.0
157,0.13950896934711599,1959-01-01,9.0
158,0.13950896934711599,1960-01-01,9.0
159,0.14747551718798313,1961-01-01,10.0
160,0.14747551718798313,1962-01-01,10.0
161,0.14747551718798313,1963-01-01,10.0
162,0.14747551718798313,1964-01-01,10.0
163,0.08971034689130275,1965-01-01,4.0
164,0.14747551718798313,1966-01-01,10.0
165,0.14747551718798313,1967-01-01,10.0
166,0.07746363460805405,1968-01-01,3.0
167,0.11196504468580548,1969-01-01,6.0
168,0.13950896934711599,1970-01-01,9.0
169,0.12101807439573498,1971-01-01,7.0
170,0.14747551718798313,1972-01-01,10.0
171,0.129640512812481,1973-01-01,8.0
172,0.13950896934711599,1974-01-01,9.0
173,0.129640512812481,1975-01-01,8.0
174,0.14747551718798313,1976-01-01,10.0
175,0.12101807439573498,1977-01-01,7.0
176,0.1628417981492375,1978-01-01,12.0
177,0.15528879192610556,1979-01-01,11.0
178,0.14747551718798313,1980-01-01,10.0
179,0.15528879192610556,1981-01-01,11.0
180,0.1628417981492375,1982-01-01,12.0
181,0.14747551718798313,1983-01-01,10.0
182,0.1628417981492375,1984-01-01,12.0
183,0.1628417981492375,1985-01-01,12.0
184,0.17081478311246778,1986-01-01,13.0
185,0.1903147404882799,1987-01-01,16.0
186,0.129640512812481,1988-01-01,8.0
187,0.13950896934711599,1989-01-01,9.0
188,0.12101807439573498,1990-01-01,7.0
189,0.129640512812481,1991-01-01,8.0
190,0.1628417981492375,1992-01-01,24.0
191,0.1967261143615664,1993-01-01,17.0
192,0.1903147404882799,1994-01-01,16.0
193,0.1903147404882799,1995-01-01,16.0
194,0.15528879192610556,1996-01-01,11.0
195,0.2283800546633451,1997-01-01,23.0
196,0.24282321748252655,1998-01-01,26.0
